Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
0.106081	0.885298	0.214944	88.287117	1.085996	0							0.108863	-2.899024	0.541532	-0.237516
0.10658	0.885436	0.215942	88.295425	1.09099	0							0.109362	-2.898689	0.544029	-0.236566
0.10708	0.885413	0.216941	88.303551	1.095985	0							0.109862	-2.898353	0.546526	-0.235215
0.107579	0.885391	0.21794	88.311676	1.100979	0							0.110361	-2.898182	0.549023	-0.233997
0.108078	0.885368	0.218939	88.319572	1.105973	0							0.11086	-2.898012	0.55152	-0.232848
0.108578	0.885346	0.219937	88.32708	1.110968	0							0.11136	-2.897842	0.554016	-0.231387
0.109077	0.885323	0.220936	88.334457	1.115962	0							0.111859	-2.897672	0.556513	-0.232113
0.109576	0.886009	0.221935	88.341484	1.120957	0							0.112358	-2.897502	0.55901	-0.234578
0.110076	0.886962	0.222934	88.348221	1.125951	0							0.112858	-2.897332	0.561507	-0.234873
0.110575	0.887915	0.223932	88.354919	1.130945	0							0.113357	-2.897161	0.564004	-0.233029
0.111075	0.888869	0.224931	88.361343	1.13594	0							0.113857	-2.896991	0.566501	-0.236547
0.111574	0.889822	0.22593	88.367363	1.140934	0							0.114356	-2.896821	0.568998	-0.238381
0.112073	0.89077	0.226929	88.373108	1.145929	0							0.114855	-2.896651	0.571494	-0.238306
0.112573	0.891807	0.227927	88.378716	1.150923	0							0.115355	-2.896304	0.573991	-0.239019
0.113072	0.892859	0.228926	88.384201	1.155918	0							0.115854	-2.895957	0.576488	-0.24171
0.113571	0.893913	0.229925	88.389526	1.160912	0							0.116353	-2.89561	0.578985	-0.245126
0.114071	0.894955	0.230924	88.394424	1.165906	0							0.116853	-2.895262	0.581482	-0.246857
0.11457	0.896014	0.231922	88.399216	1.170901	0							0.117352	-2.894916	0.583979	-0.242346
0.115069	0.897064	0.232921	88.404083	1.175895	0							0.117852	-2.894568	0.586476	-0.240173
0.115569	0.898328	0.23392	88.408638	1.180889	0							0.118351	-2.894221	0.588972	-0.239415
0.116068	0.899581	0.234918	88.412933	1.185884	0							0.11885	-2.893874	0.591469	-0.236519
0.116568	0.900839	0.235917	88.417007	1.190878	0							0.11935	-2.893527	0.593966	-0.237502
0.117067	0.902102	0.236916	88.420891	1.195873	0							0.119849	-2.89318	0.596463	-0.240083
0.117566	0.903381	0.237915	88.424698	1.200867	0							0.120348	-2.893004	0.59896	-0.240051
0.118066	0.904504	0.238913	88.428368	1.205861	0							0.120848	-2.892829	0.601457	-0.23741
0.118565	0.90527	0.239912	88.431625	1.210856	0							0.121347	-2.892653	0.603954	-0.235733
0.119064	0.906029	0.240911	88.434807	1.21585	0							0.121846	-2.892478	0.60645	-0.237344
